SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"2545-Eurobodalla","2545","Eurobodalla","Sydney","New South Wales","NSW",-36.141108,149.979087,"-36.141108,149.979087"
"2545-Nerrigundah","2545","Nerrigundah","Sydney","New South Wales","NSW",-36.118478,149.90113,"-36.118478,149.90113"
"2545-Potato Point","2545","Potato Point","Sydney","New South Wales","NSW",-36.096051,150.136611,"-36.096051,150.136611"
"2546-Akolele","2546","Akolele","Sydney","New South Wales","NSW",-36.355798,150.07685,"-36.355798,150.07685"
"2546-Barragga Bay","2546","Barragga Bay","Sydney","New South Wales","NSW",-36.502628,150.053011,"-36.502628,150.053011"
"2546-Bermagui","2546","Bermagui","Sydney","New South Wales","NSW",-36.422732,150.06439,"-36.422732,150.06439"
"2546-Central Tilba","2546","Central Tilba","Sydney","New South Wales","NSW",-36.311773,150.084817,"-36.311773,150.084817"
"2546-Corunna","2546","Corunna","Sydney","New South Wales","NSW",-36.290385,150.108612,"-36.290385,150.108612"
"2546-Cuttagee","2546","Cuttagee","Sydney","New South Wales","NSW",-36.492757,150.053495,"-36.492757,150.053495"
"2546-Dalmeny","2546","Dalmeny","Sydney","New South Wales","NSW",-36.171034,150.131434,"-36.171034,150.131434"
"2546-Dignams Creek","2546","Dignams Creek","Sydney","New South Wales","NSW",-36.347484,150.010185,"-36.347484,150.010185"
"2546-Kianga","2546","Kianga","Sydney","New South Wales","NSW",-36.196069,150.131026,"-36.196069,150.131026"
"2546-Mystery Bay","2546","Mystery Bay","Sydney","New South Wales","NSW",-36.299297,150.128542,"-36.299297,150.128542"
"2546-Narooma","2546","Narooma","Sydney","New South Wales","NSW",-36.218319,150.132246,"-36.218319,150.132246"
"2546-North Narooma","2546","North Narooma","Sydney","New South Wales","NSW",-36.202678,150.119086,"-36.202678,150.119086"
"2546-Tilba Tilba","2546","Tilba Tilba","Sydney","New South Wales","NSW",-36.324422,150.062667,"-36.324422,150.062667"
"2546-Tinpot","2546","Tinpot","Sydney","New South Wales","NSW",-36.23167,149.882895,"-36.23167,149.882895"
"2546-Wadbilliga","2546","Wadbilliga","Sydney","New South Wales","NSW",-36.261874,149.647021,"-36.261874,149.647021"
"2546-Wallaga Lake","2546","Wallaga Lake","Sydney","New South Wales","NSW",-36.356673,150.066053,"-36.356673,150.066053"
"2548-Berrambool","2548","Berrambool","Sydney","New South Wales","NSW",-36.8788,149.917402,"-36.8788,149.917402"
"2548-Merimbula","2548","Merimbula","Sydney","New South Wales","NSW",-36.887762,149.910553,"-36.887762,149.910553"
"2548-Tura Beach","2548","Tura Beach","Sydney","New South Wales","NSW",-36.86533,149.917714,"-36.86533,149.917714"
"2548-Yellow Pinch","2548","Yellow Pinch","Sydney","New South Wales","NSW",-36.861012,149.839542,"-36.861012,149.839542"
"2549-Bald Hills","2549","Bald Hills","Sydney","New South Wales","NSW",-36.912886,149.847662,"-36.912886,149.847662"
"2549-Broadwater","2549","Broadwater","Sydney","New South Wales","NSW",-36.982578,149.887264,"-36.982578,149.887264"
"2549-Greigs Flat","2549","Greigs Flat","Sydney","New South Wales","NSW",-36.968353,149.866268,"-36.968353,149.866268"
"2549-Lochiel","2549","Lochiel","Sydney","New South Wales","NSW",-36.921998,149.747092,"-36.921998,149.747092"
"2549-Millingandi","2549","Millingandi","Sydney","New South Wales","NSW",-36.872365,149.867994,"-36.872365,149.867994"
"2549-Nethercote","2549","Nethercote","Sydney","New South Wales","NSW",-37.01779,149.828723,"-37.01779,149.828723"
"2549-Pambula","2549","Pambula","Sydney","New South Wales","NSW",-36.929247,149.874618,"-36.929247,149.874618"
"2549-Pambula Beach","2549","Pambula Beach","Sydney","New South Wales","NSW",-36.939862,149.901907,"-36.939862,149.901907"
"2549-South Pambula","2549","South Pambula","Sydney","New South Wales","NSW",-36.943447,149.862176,"-36.943447,149.862176"
"2550-Angledale","2550","Angledale","Sydney","New South Wales","NSW",-36.63575,149.857154,"-36.63575,149.857154"
"2550-Bega","2550","Bega","Sydney","New South Wales","NSW",-36.674262,149.84324,"-36.674262,149.84324"
"2550-Bemboka","2550","Bemboka","Sydney","New South Wales","NSW",-36.629917,149.572964,"-36.629917,149.572964"
"2550-Black Range","2550","Black Range","Sydney","New South Wales","NSW",-36.724891,149.834693,"-36.724891,149.834693"
"2550-Bournda","2550","Bournda","Sydney","New South Wales","NSW",-36.836801,149.912998,"-36.836801,149.912998"
"2550-Brogo","2550","Brogo","Sydney","New South Wales","NSW",-36.570993,149.823508,"-36.570993,149.823508"
"2550-Buckajo","2550","Buckajo","Sydney","New South Wales","NSW",-36.703339,149.758432,"-36.703339,149.758432"
"2550-Bunga","2550","Bunga","Sydney","New South Wales","NSW",-36.537397,150.041639,"-36.537397,150.041639"
"2550-Burragate","2550","Burragate","Sydney","New South Wales","NSW",-37.001083,149.628928,"-37.001083,149.628928"
"2550-Candelo","2550","Candelo","Sydney","New South Wales","NSW",-36.767311,149.695188,"-36.767311,149.695188"
"2550-Chinnock","2550","Chinnock","Sydney","New South Wales","NSW",-36.68983,149.939048,"-36.68983,149.939048"
"2550-Cobargo","2550","Cobargo","Sydney","New South Wales","NSW",-36.38761,149.887772,"-36.38761,149.887772"
"2550-Coolagolite","2550","Coolagolite","Sydney","New South Wales","NSW",-36.429324,149.926402,"-36.429324,149.926402"
"2550-Coolangubra","2550","Coolangubra","Sydney","New South Wales","NSW",-37.024422,149.501594,"-37.024422,149.501594"
"2550-Coopers Gully","2550","Coopers Gully","Sydney","New South Wales","NSW",-36.649434,149.795722,"-36.649434,149.795722"
"2550-Devils Hole","2550","Devils Hole","Sydney","New South Wales","NSW",-36.873821,149.652802,"-36.873821,149.652802"
"2550-Doctor George Mountain","2550","Doctor George Mountain","Sydney","New South Wales","NSW",-36.665809,149.892211,"-36.665809,149.892211"
"2550-Frogs Hollow","2550","Frogs Hollow","Sydney","New South Wales","NSW",-36.767935,149.814668,"-36.767935,149.814668"
"2550-Greendale","2550","Greendale","Sydney","New South Wales","NSW",-36.600111,149.852112,"-36.600111,149.852112"
"2550-Jellat Jellat","2550","Jellat Jellat","Sydney","New South Wales","NSW",-36.717577,149.893595,"-36.717577,149.893595"
"2550-Kalaru","2550","Kalaru","Sydney","New South Wales","NSW",-36.736047,149.939572,"-36.736047,149.939572"
"2550-Kameruka","2550","Kameruka","Sydney","New South Wales","NSW",-36.74108,149.708726,"-36.74108,149.708726"
"2550-Kanoona","2550","Kanoona","Sydney","New South Wales","NSW",-36.745803,149.779989,"-36.745803,149.779989"
"2550-Kingswood","2550","Kingswood","Sydney","New South Wales","NSW",-36.738556,149.81742,"-36.738556,149.81742"
"2550-Mogareeka","2550","Mogareeka","Sydney","New South Wales","NSW",-36.698431,149.975982,"-36.698431,149.975982"
"2550-Mogilla","2550","Mogilla","Sydney","New South Wales","NSW",-36.706181,149.562706,"-36.706181,149.562706"
"2550-Morans Crossing","2550","Morans Crossing","Sydney","New South Wales","NSW",-36.663757,149.647067,"-36.663757,149.647067"
"2550-Mumbulla Mountain","2550","Mumbulla Mountain","Sydney","New South Wales","NSW",-36.545445,149.864645,"-36.545445,149.864645"
"2550-Murrah","2550","Murrah","Sydney","New South Wales","NSW",-36.512638,149.978253,"-36.512638,149.978253"
"2550-Myrtle Mountain","2550","Myrtle Mountain","Sydney","New South Wales","NSW",-36.860626,149.690231,"-36.860626,149.690231"
"2550-Nelson","2550","Nelson","Sydney","New South Wales","NSW",-36.675498,149.971179,"-36.675498,149.971179"
"2550-New Buildings","2550","New Buildings","Sydney","New South Wales","NSW",-36.947707,149.574758,"-36.947707,149.574758"
"2550-Numbugga","2550","Numbugga","Sydney","New South Wales","NSW",-36.652366,149.711811,"-36.652366,149.711811"
"2550-Pericoe","2550","Pericoe","Sydney","New South Wales","NSW",-37.103305,149.59656,"-37.103305,149.59656"
"2550-Quaama","2550","Quaama","Sydney","New South Wales","NSW",-36.464379,149.87009,"-36.464379,149.87009"
"2550-Reedy Swamp","2550","Reedy Swamp","Sydney","New South Wales","NSW",-36.698569,149.892016,"-36.698569,149.892016"
"2550-Rocky Hall","2550","Rocky Hall","Sydney","New South Wales","NSW",-36.913723,149.488005,"-36.913723,149.488005"
"2550-South Wolumla","2550","South Wolumla","Sydney","New South Wales","NSW",-36.821939,149.750881,"-36.821939,149.750881"
