SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"3107-Templestowe Lower","3107","Templestowe Lower","Melbourne","Victoria","VIC",-37.7563,145.102997,"-37.7563,145.102997"
"3108-Doncaster","3108","Doncaster","Melbourne","Victoria","VIC",-37.783031,145.122517,"-37.783031,145.122517"
"3109-Doncaster East","3109","Doncaster East","Melbourne","Victoria","VIC",-37.811994,145.19474,"-37.811994,145.19474"
"3109-Doncaster Heights","3109","Doncaster Heights","Melbourne","Victoria","VIC",-37.788827,145.159247,"-37.788827,145.159247"
"3109-The Pines","3109","The Pines","Melbourne","Victoria","VIC",-37.757762,145.169626,"-37.757762,145.169626"
"3111-Donvale","3111","Donvale","Melbourne","Victoria","VIC",-38.183899,144.468019,"-38.183899,144.468019"
"3113-North Warrandyte","3113","North Warrandyte","Melbourne","Victoria","VIC",-37.731758,145.221282,"-37.731758,145.221282"
"3113-Warrandyte","3113","Warrandyte","Melbourne","Victoria","VIC",-37.736915,145.22314,"-37.736915,145.22314"
"3114-Park Orchards","3114","Park Orchards","Melbourne","Victoria","VIC",-37.778442,145.214586,"-37.778442,145.214586"
"3115-Wonga Park","3115","Wonga Park","Melbourne","Victoria","VIC",-37.738666,145.270483,"-37.738666,145.270483"
"3116-Chirnside Park","3116","Chirnside Park","Melbourne","Victoria","VIC",-37.750325,145.326463,"-37.750325,145.326463"
"3121-Burnley","3121","Burnley","Melbourne","Victoria","VIC",-37.826869,145.007098,"-37.826869,145.007098"
"3121-Burnley North","3121","Burnley North","Melbourne","Victoria","VIC",-37.829382,145.007165,"-37.829382,145.007165"
"3121-Cremorne","3121","Cremorne","Melbourne","Victoria","VIC",-37.829719,144.990346,"-37.829719,144.990346"
"3121-Richmond","3121","Richmond","Melbourne","Victoria","VIC",-37.818587,144.999181,"-37.818587,144.999181"
"3121-Richmond East","3121","Richmond East","Melbourne","Victoria","VIC",-37.826421,144.996431,"-37.826421,144.996431"
"3121-Richmond North","3121","Richmond North","Melbourne","Victoria","VIC",-37.816323,145.011044,"-37.816323,145.011044"
"3121-Richmond South","3121","Richmond South","Melbourne","Victoria","VIC",-37.814951,144.991415,"-37.814951,144.991415"
"3122-Auburn South","3122","Auburn South","Melbourne","Victoria","VIC",-37.842105,145.045951,"-37.842105,145.045951"
"3122-Hawthorn","3122","Hawthorn","Melbourne","Victoria","VIC",-37.834855,145.052097,"-37.834855,145.052097"
